Species Name,Collection Date,Collection Locality,Dry Weight /g,Quantity,Seed mass per 1000 /g,IID
Aglaonema nebulosum,NA,NA,0.087,1,87,1
Aglaonema nitidum,NA,NA,0.435,2,218,2
Albizia lebbeck,NA,NA,30.321,23,1318,3
Albizia moluccana,7/28/2010,Bukit Batok Mera Lodge,0.964,49,20,4
Alocasia longiloba,NA,NA,0.485,15,32,5
Alocasia longiloba,NA,NA,0.495,10,50,6
Aporosa nervosa,NA,Panti,1.567,24,65,7
Archidendron clypearia,NA,NA,1.457,9,162,8
Archidendron clypearia,NA,NA,1.017,17,60,9
Ardisia elliptica,NA,NA,1.494,40,37,10
Barringtonia racemosa,NA,NA,29.069,4,7267,11
Bhesa paniculata,NA,NA,0.834,15,56,12
Buchanania arborescens,NA,NA,0.575,11,52,13
Calophyllum soulattri,7/28/2010,Native Garden,0.739,5,148,14
Calophyllum soulattri,NA,NA,5.476,49,112,15
Canavalia cathartica,NA,NA,7.171,10,717,16
Canavalia rosea,NA,NA,1.862,5,372,17
Canavalia rosea,10/2/2010,Changi Aviation,5.31,15,354,18
Cayratia mollissima,NA,NA,0.845,6,141,19
Cayratia trifolia,NA,NA,0.166,7,24,20
Cheilocostus speciosus,7/12/2010,Bukit Batok Mera Lodge,0.24,30,8,21
Clerodendrum deflexum,NA,NA,1.081,20,54,22
Colubrina asiatica,7/14/2010,Punggol,0.896,33,27,23
Colubrina asiatica,NA,NA,0.512,18,28,24
Commersonia bartramia,NA,NA,0.143,76,2,25
Crinum asiaticum,NA,NA,6.932,7,990,26
Dillenia indica,NA,NA,1.567,72,22,27
Dillenia suffruticosa,NA,NA,0.208,25,8,28
Dolichandrone spathacea,NA,NA,0.875,35,25,29
Dolichandrone spathacea,NA,NA,1.41,59,24,30
Garcinia griffithii,NA,NA,0.604,3,201,31
Gnetum gnemon,NA,NA,11.29,11,1026,32
Guioa pleuropteris,NA,Native Garden,0.948,13,73,33
Guioa pleuropteris,NA,NA,0.578,6,96,34
Hanguana malayana,NA,NA,0.43,18,24,35
Heritiera littoralis,NA,NA,58.447,10,5845,36
Heritiera littoralis,NA,NA,21.839,5,4368,37
Hevea brasiliensis,NA,NA,15.031,6,2505,38
Hevea brasiliensis,NA,Bukit Batok Mera Lodge,13.364,6,2227,39
Ilex cymosa,NA,NA,0.165,170,1,40
Intsia palembanica,NA,NA,91.803,15,6120,41
Ipomoea pes-caprae,10/2/2010,Changi Aviation,1.01,15,67,42
Leea rubra,7/14/2010,Hortpark,0.273,16,17,43
Leucaena leucocephala,7/14/2010,Punggol,3.739,70,53,44
Memecylon caeruleum,NA,NA,1.757,15,117,45
Memecylon pauciflorum,NA,NA,4.6365,15,309,46
Nephelium ramboutan-ake,NA,NA,11.389,5,2278,47
Peltophorum pterocarpum,NA,CGH,0.645,15,43,48
Pemphis acidula,10/2/2010,Changi Aviation,0.077,100,1,49
Podocarpus polystachyus,NA,NA,1.49,15,99,50
Pongamia pinnata,NA,NA,14.303,11,1300,51
Pongamia pinnata,NA,NA,16.306,15,1087,52
Porterandia anisophylla,NA,NA,0.287,40,7,53
Psychotria ovoidea,NA,NA,0.125,15,8,54
Rhodamnia cinerea,NA,NA,0.587,73,8,55
Scaevola taccada,NA,NA,3.481,31,112,56
Sindora wallichii,NA,NA,42.268,15,2818,57
Sterculia macrophylla,NA,NA,5.762,9,640,58
Sterculia parvifolia,NA,NA,9.218,10,922,59
Sterculia parvifolia,NA,NA,1.313,6,219,60
Tacca integrifolia,NA,NA,0.335,40,8,61
Tacca leontopetaloides,NA,NA,0.117,11,11,62
Talipariti tiliaceum,7/14/2010,Punggol,1.101,86,13,63
Tarenna odorata,NA,NA,0.021,17,1,64
Thespesia populnea,NA,NA,2.762,15,184,65
Thespesia populnea,NA,NA,1.036,5,207,66
Zingiber puberulum,NA,NA,0.055,12,5,67
