Species Name,Collection Date,Collection Locality,Dry Weight /g,Quantity,Seed mass per 1000 /g
Aglaonema nebulosum,NA,NA,0.087,1,87
Aglaonema nitidum,NA,NA,0.435,2,218
Albizia lebbeck,NA,NA,30.321,23,1318
Albizia moluccana,7/28/2010,Bukit Batok Mera Lodge,0.964,49,20
Alocasia longiloba,NA,NA,0.485,15,32
Alocasia longiloba,NA,NA,0.495,10,50
Aporosa nervosa,NA,Panti,1.567,24,65
Archidendron clypearia,NA,NA,1.457,9,162
Archidendron clypearia,NA,NA,1.017,17,60
Ardisia elliptica,NA,NA,1.494,40,37
Barringtonia racemosa,NA,NA,29.069,4,7267
Bhesa paniculata,NA,NA,0.834,15,56
Buchanania arborescens,NA,NA,0.575,11,52
Calophyllum soulattri,7/28/2010,Native Garden,0.739,5,148
Calophyllum soulattri,NA,NA,5.476,49,112
Canavalia cathartica,NA,NA,7.171,10,717
Canavalia rosea,NA,NA,1.862,5,372
Canavalia rosea,10/2/2010,Changi Aviation,5.31,15,354
Cayratia mollissima,NA,NA,0.845,6,141
Cayratia trifolia,NA,NA,0.166,7,24
Cheilocostus speciosus,7/12/2010,Bukit Batok Mera Lodge,0.24,30,8
Clerodendrum deflexum,NA,NA,1.081,20,54
Colubrina asiatica,7/14/2010,Punggol,0.896,33,27
Colubrina asiatica,NA,NA,0.512,18,28
Commersonia bartramia,NA,NA,0.143,76,2
Crinum asiaticum,NA,NA,6.932,7,990
Dillenia indica,NA,NA,1.567,72,22
Dillenia suffruticosa,NA,NA,0.208,25,8
Dolichandrone spathacea,NA,NA,0.875,35,25
Dolichandrone spathacea,NA,NA,1.41,59,24
Garcinia griffithii,NA,NA,0.604,3,201
Gnetum gnemon,NA,NA,11.29,11,1026
Guioa pleuropteris,NA,Native Garden,0.948,13,73
Guioa pleuropteris,NA,NA,0.578,6,96
Hanguana malayana,NA,NA,0.43,18,24
Heritiera littoralis,NA,NA,58.447,10,5845
Heritiera littoralis,NA,NA,21.839,5,4368
Hevea brasiliensis,NA,NA,15.031,6,2505
Hevea brasiliensis,NA,Bukit Batok Mera Lodge,13.364,6,2227
Ilex cymosa,NA,NA,0.165,170,1
Intsia palembanica,NA,NA,91.803,15,6120
Ipomoea pes-caprae,10/2/2010,Changi Aviation,1.01,15,67
Leea rubra,7/14/2010,Hortpark,0.273,16,17
Leucaena leucocephala,7/14/2010,Punggol,3.739,70,53
Memecylon caeruleum,NA,NA,1.757,15,117
Memecylon pauciflorum,NA,NA,4.6365,15,309
Nephelium ramboutan-ake,NA,NA,11.389,5,2278
Peltophorum pterocarpum,NA,CGH,0.645,15,43
Pemphis acidula,10/2/2010,Changi Aviation,0.077,100,1
Podocarpus polystachyus,NA,NA,1.49,15,99
Pongamia pinnata,NA,NA,14.303,11,1300
Pongamia pinnata,NA,NA,16.306,15,1087
Porterandia anisophylla,NA,NA,0.287,40,7
Psychotria ovoidea,NA,NA,0.125,15,8
Rhodamnia cinerea,NA,NA,0.587,73,8
Scaevola taccada,NA,NA,3.481,31,112
Sindora wallichii,NA,NA,42.268,15,2818
Sterculia macrophylla,NA,NA,5.762,9,640
Sterculia parvifolia,NA,NA,9.218,10,922
Sterculia parvifolia,NA,NA,1.313,6,219
Tacca integrifolia,NA,NA,0.335,40,8
Tacca leontopetaloides,NA,NA,0.117,11,11
Talipariti tiliaceum,7/14/2010,Punggol,1.101,86,13
Tarenna odorata,NA,NA,0.021,17,1
Thespesia populnea,NA,NA,2.762,15,184
Thespesia populnea,NA,NA,1.036,5,207
Zingiber puberulum,NA,NA,0.055,12,5
