SpeciesOld,Seed dry mass (mg)
Actephila excelsa,230
Adenanthera pavonina,230
Adenia macrophylla,79
Adinandra dumosa,1.1
Aglaonema simplex,200
Alangium ridleyi,580
Alstonia augustiloba,1.8
Anadendrum montanum,72
Anisophyllea disticha,330
Anisoptera costata,540
Anisoptera megistocarpa,1200
Antidesma cuspidatum,17
Aporusa confusa,250
Aporusa frutescens,53
Archidendron clypearia,51
Ardisia colorata,23
Aromadendron elegans,170
Arthrophyllum diversifolium,51
Artocarpus elasticus,150
Artocarpus rigidus,67
Aspidopterys concava,6.4
Baccaurea kunstleri,92
Baccaurea parviflora,38
Bauhinia semibifida,660
Bhesa paniculata,77
Calophyllum tetrapterum,72
Canarium littorale,8300
Canthium glabrum,57
Caryota mitis,370
Castanopsis wallichii,1400
Clerodendrum laevifolium,340
Clerodendrum villosum,26
Commersonia bartramia,1.7
Curculigo villosa,1.5
Cyathocalyx ramuliflorus,110
Daemonorops augustifolia,230
Derris thyrsiflora,480
Didymocarpus platypus,0.013
Dillenia suffruticosa,9
Dipterocarpus caudatus,2400
Dissochaeta gracilis,0.021
Dysoxylum cauliflorum,440
Endospermum diadenum,9.9
Enkleia malaccensis,330
Eugenia sp.,1300
Eugenia spicata,25
Fagraea fragrans,0.18
Fibraurea tinctoria,710
Ficus aurata,0.36
Ficus chartacea,0.2
Ficus fistulosa,0.3
Ficus grossularioides,0.29
Ficus pisocarpa,0.15
Forrestia gracilis,20
Garcinia griffithii,160
Garcinia sp.,84
Gironniera parvifolia,15
Globa leucantha,5
Glochidion superbum,2
Gnetum sp.,870
Gomphia serrata,74
Gymnacranthera farquhariana,700
Gynotroches axillaris,0.33
Hanguana malayana,17
Horsfieldia punctatifolia,1600
Intsia palembanica,7000
Ixonanthes reticulata,3
Ixora congesta,64
Ixora pendula,100
Knema laurina,1100
Kokoona reflexa,460
Kunstleria ridleyi,190
Lasianthus appressus,4.1
Lasianthus attenuatus,21
Lasianthus constricta,32
Lasianthus densifolius,9.8
Leptaspis urceolata,26
Licuala spinosa,130
Lithocarpus ewyckii,1100
Lithocarpus lucidus,3000
Litsea accedens,290
Litsea costata,710
Litsea grandis,950
Litsea sp.,690
Macaranga gigantea,13
Macaranga heynei,3.2
Macaranga hypoleuca,28.5
Macaranga triloba,15
Mallotus paniculatus,6.9
Melastoma malabathricum,0.033
Mezzetia parviflora,5600
Morinda ridleyi,59
Myrica esculenta,23
Myristica cinnamomea,7900
Myristica maingayi,8200
Nauclea officinalis,0.3
Nothaphoebe umbelliflora,2100
Ochanostachys amentacea,3200
Oncosperma horridum,1400
Ophiorrhiza singaporensis,0.011
Palaquium gutta,1300
Parishia paucijuga,5100
Parkia speciosa,540
Pellacalyx axillaris,0.6
Pellacalyx saccardianus,0.46
Pentaphragma ellipticum,0.016
Phaeanthus ophthalmicus,300
Pithecellobium contortum,170
Planchonella maingayi,420
Ploiarium alternifolium,0.063
Polyalthia sp.,2300
Porterandia ansiophyllea,6.3
Prunus polystachya,1400
Psychotria penangiensis,5
Pternandra coerulescens,0.085
Pternandra echinata,0.05
Ptychoraphis singaporensis,280
Rhodamnia cinerea,30
Santiria apiculata,77
Shorea macroptera,520
Shorea parviflora,600
Sonerila heterostemon,0.005
Sterculia coccinea,200
Strychnos ignatii,1000
Tacca integrifolia,2.1
Tetracera indica,100
Timonius wallichianus,4.4
Trema cannabina,3.5
Trema tomentosa,2.2
Urophyllum griffithianum,0.022
Urophyllum hirsutum,0.031
Urophyllum sp. 2 of Wong (1989),0.04
Urophyllum streptopodium,0.031
Uvaria leptopoda,280
Vatica maingayi,190
Ventilago malaccensis,42
Vitex pinnata,95
Willughbeia coriacea,220
Xylopia malayana,110
Ziziphus calophylla,620
